Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1952,2.7,3.4,6.6,9.6,13.4,14.4,16.8,15.8,10.7,8.8,4.2,2.8
1953,3.3,4.3,5.6,7.3,12.6,14.4,15.5,16.2,13.8,9.7,8.5,6.9
1954,2.9,2.6,5.8,7.6,11.2,13.4,14.2,14.6,12.7,11.9,6.9,6.8
1955,2.6,1.2,3.2,9.3,9.7,13.8,17.7,18.1,14.2,9.2,7,5.4
1956,3.6,0.2,6.2,6.9,11.7,13.1,15.8,13.5,14.3,9.4,6,5.7
1957,5.5,5.3,9.2,8.9,10.3,15.2,16.3,15.4,12.5,10.8,6.4,4.5
1958,3.4,4.7,3.7,7.4,11.1,14.1,15.9,15.8,15.1,10.8,6.4,4.7
1959,1.6,4.4,7.3,9.4,12.8,15.2,17.3,17.2,14.9,12.6,7.1,6
1960,3.8,4.1,6.4,8.9,12.8,16.1,15.1,15,13.1,10.3,7.3,3.9
1961,3.9,6.9,8.2,0,11,14.4,15.2,15.4,15.2,10.9,6,2.2
1962,4.3,4.4,2.8,7.7,10.3,13.7,15.1,14.5,12.6,10.4,5.5,1.8
1963,2.1,0.7,6,8.7,10.6,14.9,15.2,14.3,12.9,11.1,8.2,2.6
1964,3.4,4.5,4.3,8.7,13.3,13.8,16.1,15.5,14.1,8.9,7.4,3.6
1965,3.3,3.1,5.2,8,11.7,14.7,14,14.9,12.3,11,4.5,4.7
1966,2.9,5.7,6.5,7.2,11,15.4,15,14.7,13.8,10.1,5.6,5.5
1967,4.5,5.4,7,7.7,10.4,14,16.7,15.7,13.5,10.8,5.4,4.2
1968,4.4,1.9,6.3,8.1,9.8,14.8,15,15.4,13.9,12.5,6.5,3
1969,5.5,1,3.3,7.4,11.2,13.9,16.8,16.4,13.9,13,5.4,3.3
1970,3.7,2.9,3.7,6.7,13,16.4,15.2,16,14.4,10.7,7.8,4.3
1971,4.5,4.5,4.9,7.9,11.6,12.4,16.9,15.6,14,11.3,6,6.6
1972,3.9,4.3,6.5,8.2,10.5,11.8,15.6,15.1,11.7,10.6,6.3,5.8
1973,4.5,4.3,6.2,7,11.4,14.8,15.6,16.5,14.3,9,6,4.9
1974,5.9,5.4,5.8,8.2,11,13.9,15.2,15.2,12.1,7.8,6.8,8.1
1975,6.8,4.4,4.8,8.3,9.9,14.7,17.4,18.7,13.5,9.9,6.3,5.3
1976,5.9,4.5,4.8,8.1,12.1,17,18.7,17.6,13.4,10.6,6.3,2
1977,2.8,5.2,6.9,7.2,10.6,12.2,15.9,15.2,13.3,11.8,6.6,6.1
1978,3.4,2.8,6.7,6.5,11.7,13.7,14.8,15,14.2,11.9,8.5,3.9
1979,0.4,1.2,4.7,7.8,10,13.9,16.2,14.9,13.5,11.3,6.8,5.8
1980,2.3,5.7,4.7,8.8,11.2,13.8,14.7,15.9,14.7,9,6.6,5.6
1981,4.9,3,7.9,7.8,11.2,13.2,15.5,16.2,14.5,8.6,7.8,0.3
1982,2.6,4.8,6.1,8.6,11.6,15.5,16.5,15.7,14.2,10.1,8,4.4
1983,6.7,1.7,6.4,6.8,10.3,14.4,19.5,17.3,13.7,10.5,7.5,5.6
1984,3.8,3.3,4.7,8.1,9.9,14.5,16.9,17.6,13.7,11.1,8,5.2
1985,0.8,2.1,4.7,8.3,10.9,12.7,16.2,14.6,14.6,11,4.1,6.3
1986,3.5,1.1,4.9,5.8,11.1,14.8,15.9,13.7,11.3,11,7.8,6.2
1987,0.8,3.6,4.1,0.3,10.1,12.8,15.9,15.6,13.6,9.7,6.5,5.6
1988,5.3,4.9,6.4,8.2,11.9,14.4,14.7,15.2,13.2,10.4,5.2,7.5
1989,6.1,5.9,7.5,6.6,13,14.6,18.2,16.6,14.7,11.7,6.2,4.9
1990,6.5,7.3,8.3,8,12.6,13.6,16.9,18,13.2,11.9,6.9,4.3
1991,3.3,1.5,7.9,7.9,10.8,12.1,17.3,17.1,14.7,10.2,6.8,4.7
1992,3.7,5.4,7.5,8.7,13.6,15.7,16.2,15.3,13.4,7.8,7.4,3.6
1993,5.9,4.6,6.7,9.5,11.4,15,15.2,14.6,12.4,8.5,4.6,5.5
1994,5.3,3.2,7.7,8.1,10.7,14.5,18,16,12.7,10.2,10.1,6.4
1995,4.8,6.5,5.6,9.1,11.6,14.3,18.6,19.2,13.7,12.9,7.7,2.3
1996,4.3,2.5,4.5,8.5,9.1,14.4,16.5,16.5,13.6,11.7,5.9,2.9
1997,2.5,6.7,8.4,9,11.5,14.1,16.7,18.9,14.2,10.2,8.4,5.8
1998,5.2,7.3,7.9,7.7,13.1,14.2,15.5,15.9,14.9,10.6,6.2,5.5
1999,5.5,5.3,7.4,9.4,12.9,13.9,17.7,16.1,15.6,10.7,7.9,5
2000,4.9,6.3,7.6,7.8,12.1,15.1,15.5,16.6,14.7,10.3,7,5.8
2001,3.2,4.4,5.2,7.7,12.6,14.3,17.2,16.8,13.4,13.3,7.5,3.6
2002,5.5,7,7.6,9.3,11.8,14.4,16,17,14.4,10.1,8.5,5.7
2003,4.5,3.9,7.5,9.6,12.1,16.1,17.6,18.3,14.3,9.2,8.1,4.8
2004,5.2,5.4,6.5,9.4,12.1,15.3,15.8,17.6,14.9,10.5,7.7,5.4
2005,6,4.3,7.2,8.9,11.4,15.5,16.9,16.2,15.2,13.1,6.2,4.4
2006,4.3,3.7,4.9,8.6,12.3,15.9,19.7,16.1,16.8,13,8.1,6.5
2007,7,5.8,7.2,1.2,11.9,15.1,15.2,15.4,13.8,10.9,7.3,4.9
2008,6.6,5.4,6.1,7.9,13.4,13.9,16.2,16.2,13.5,9.7,7,3.5
2009,3,4.1,7,0,12.1,14.8,16.1,16.6,14.2,11.6,8.7,3.1
2010,1.4,2.8,6.1,8.8,10.7,15.2,17.1,15.3,13.8,10.3,5.2,-0.7
2011,3.7,6.4,6.7,1.8,12.2,13.8,15.2,15.4,15.1,12.6,9.6,6
2012,5.4,3.8,8.3,7.2,11.7,13.5,15.5,16.6,13,9.7,6.8,4.8
2013,3.5,3.2,2.7,7.5,10.4,13.6,18.3,16.9,13.7,12.5,6.2,6.3
2014,5.7,6.2,7.6,0.2,12.2,15.1,17.7,14.9,15.1,12.5,8.6,5.2
2015,4.4,4,6.4,9,10.8,14,15.9,15.9,12.6,11,9.5,9.7
